# px[AU]    py[AU]    vx[m/s]    vy[m/s]
3.869802379859915153e-01 -2.735229946524064034e-03 0.000000000000000000e+00
3.869407134205127829e-01 -5.470320208023979856e-03 0.000000000000000000e+00
3.868814267096524206e-01 -8.205131083814560383e-03 0.000000000000000000e+00
3.868023792033515873e-01 -1.093952286329003855e-02 0.000000000000000000e+00
3.867035731956801614e-01 -1.367335583166932357e-02 0.000000000000000000e+00
3.865850119250872075e-01 -1.640649027574608843e-02 0.000000000000000000e+00
3.864466995746256295e-01 -1.913878648964369850e-02 0.000000000000000000e+00
3.862886412721503460e-01 -2.187010478057505730e-02 0.000000000000000000e+00
3.861108430904913735e-01 -2.460030547460727648e-02 0.000000000000000000e+00
3.859133120475999323e-01 -2.732924892243133660e-02 0.000000000000000000e+00
3.856960561066687387e-01 -3.005679550513666587e-02 0.000000000000000000e+00
3.854590841762260411e-01 -3.278280563999066283e-02 0.000000000000000000e+00
3.852024061102031771e-01 -3.550713978622322547e-02 0.000000000000000000e+00
3.849260327079757626e-01 -3.822965845081626596e-02 0.000000000000000000e+00
3.846299757143781806e-01 -4.095022219429825944e-02 0.000000000000000000e+00
3.843142478196918677e-01 -4.366869163654378549e-02 0.000000000000000000e+00
3.839788626596063459e-01 -4.638492746257816268e-02 0.000000000000000000e+00
3.836238348151535527e-01 -4.909879042838713459e-02 0.000000000000000000e+00
3.832491798126157478e-01 -5.181014136673158660e-02 0.000000000000000000e+00
3.828549141234056652e-01 -5.451884119296739051e-02 0.000000000000000000e+00
3.824410551639200739e-01 -5.722475091087032839e-02 0.000000000000000000e+00
3.820076212953657513e-01 -5.992773161846612351e-02 0.000000000000000000e+00
3.815546318235580880e-01 -6.262764451386554354e-02 0.000000000000000000e+00
3.810821069986928822e-01 -6.532435090110465248e-02 0.000000000000000000e+00
3.805900680150894888e-01 -6.801771219599020424e-02 0.000000000000000000e+00
3.800785370109071026e-01 -7.070758993195004616e-02 0.000000000000000000e+00
3.795475370678328408e-01 -7.339384576588876830e-02 0.000000000000000000e+00
3.789970922107419038e-01 -7.607634148404836261e-02 0.000000000000000000e+00
3.784272274073297582e-01 -7.875493900787405854e-02 0.000000000000000000e+00
3.778379685677161204e-01 -8.142950039988523792e-02 0.000000000000000000e+00
3.772293425440202408e-01 -8.409988786955145679e-02 0.000000000000000000e+00
3.766013771299083768e-01 -8.676596377917357439e-02 0.000000000000000000e+00
3.759541010601119559e-01 -8.942759064976987804e-02 0.000000000000000000e+00
3.752875440099175952e-01 -9.208463116696742612e-02 0.000000000000000000e+00
3.746017365946276989e-01 -9.473694818689827601e-02 0.000000000000000000e+00
3.738967103689923022e-01 -9.738440474210087461e-02 0.000000000000000000e+00
3.731724978266117154e-01 -1.000268640474263615e-01 0.000000000000000000e+00
3.724291323993099145e-01 -1.026641895059499793e-01 0.000000000000000000e+00
3.716666484564779549e-01 -1.052962447148873271e-01 0.000000000000000000e+00
3.708850813043886863e-01 -1.079228934715156935e-01 0.000000000000000000e+00
3.700844671854806034e-01 -1.105439997791001078e-01 0.000000000000000000e+00
3.692648432776123868e-01 -1.131594278528245678e-01 0.000000000000000000e+00
3.684262476932873009e-01 -1.157690421257277641e-01 0.000000000000000000e+00
3.675687194788471168e-01 -1.183727072546439801e-01 0.000000000000000000e+00
3.666922986136356699e-01 -1.209702881261484897e-01 0.000000000000000000e+00
3.657970260091318870e-01 -1.235616498625078247e-01 0.000000000000000000e+00
3.648829435080517825e-01 -1.261466578276347339e-01 0.000000000000000000e+00
3.639500938834199784e-01 -1.287251776330477215e-01 0.000000000000000000e+00
3.629985208376094730e-01 -1.312970751438352901e-01 0.000000000000000000e+00
3.620282690013506555e-01 -1.338622164846246243e-01 0.000000000000000000e+00
3.610393839327087351e-01 -1.364204680455548546e-01 0.000000000000000000e+00
3.600319121160291402e-01 -1.389716964882547201e-01 0.000000000000000000e+00
3.590059009608516094e-01 -1.415157687518246166e-01 0.000000000000000000e+00
3.579613988007918080e-01 -1.440525520588228914e-01 0.000000000000000000e+00
3.568984548923911926e-01 -1.465819139212565791e-01 0.000000000000000000e+00
3.558171194139340687e-01 -1.491037221465761065e-01 0.000000000000000000e+00
3.547174434642322294e-01 -1.516178448436742154e-01 0.000000000000000000e+00
3.535994790613768424e-01 -1.541241504288889119e-01 0.000000000000000000e+00
3.524632791414576416e-01 -1.566225076320103549e-01 0.000000000000000000e+00
3.513088975572483119e-01 -1.591127855022916315e-01 0.000000000000000000e+00
3.501363890768590115e-01 -1.615948534144632798e-01 0.000000000000000000e+00
3.489458093823554208e-01 -1.640685810747516959e-01 0.000000000000000000e+00
3.477372150683435970e-01 -1.665338385269008181e-01 0.000000000000000000e+00
3.465106636405214102e-01 -1.689904961581976950e-01 0.000000000000000000e+00
3.452662135141952304e-01 -1.714384247055012467e-01 0.000000000000000000e+00
3.440039240127629183e-01 -1.738774952612743840e-01 0.000000000000000000e+00
3.427238553661617892e-01 -1.763075792796194030e-01 0.000000000000000000e+00
3.414260687092817714e-01 -1.787285485823165154e-01 0.000000000000000000e+00
3.401106260803441472e-01 -1.811402753648652109e-01 0.000000000000000000e+00
3.387775904192444343e-01 -1.835426322025286716e-01 0.000000000000000000e+00
3.374270255658603501e-01 -1.859354920563808244e-01 0.000000000000000000e+00
3.360589962583238610e-01 -1.883187282793562511e-01 0.000000000000000000e+00
3.346735681312575927e-01 -1.906922146223022363e-01 0.000000000000000000e+00
3.332708077139752700e-01 -1.930558252400335906e-01 0.000000000000000000e+00
