Complexity|MSE|Equation
1|145.41731|10.426833
3|88.939255|(x3 * x3)
5|21.679943|((x3 * 2.1639986) * x3)
7|21.13597|((x3 * (x3 + 0.15854803)) * 2.1734676)
8|19.744759|(x3 * ((x3 * 2.1639986) + sin(x2)))
9|19.707256|(x3 * ((x3 * 2.1639986) + sin(sin(x2))))
10|2.276357|(((x3 * x3) + (x0 * sin(x2))) * 2.1518557)
12|0.5694199|(((x3 * x3) * 2.0934937) + (x0 * (sin(x2) * 2.9807146)))
14|1.0728064e-12|((((x3 * x3) * 2.0) + 0.9999998) + (x0 * (sin(x2) * 3.0)))
